language	ISO1	ISO2	ISO3
Arabic	ar	ara	ara
Chinese	zh	zho	chi
English	en	eng	eng
French	fr	fra	fre
German	de	deu	ger
Italian	it	ita	ita
Japanese	ja	jpn	jpn
Korean	ko	kor	kor
Portuguese	pt	por	por
Russian	ru	rus	rus
Spanish	es	spa	spa
____________________
 
Abkhazian	ab	abk	abk
Afar	aa	aar	aar
Afrikaans	af	afr	afr
Akan	ak	aka	aka
Albanian	sq	sqi	alb
Amharic	am	amh	amh
Aragonese	an	arg	arg
Armenian	hy	hye	arm
Assamese	as	asm	asm
Avaric	av	ava	ava
Avestan	ae	ave	ave
Aymara	ay	aym	aym
Azerbaijani	az	aze	aze
Bambara	bm	bam	bam
Bashkir	ba	bak	bak
Basque	eu	eus	baq
Belarusian	be	bel	bel
Bengali	bn	ben	ben
Bihari languages	bh	bih	bih
Bislama	bi	bis	bis
Bosnian	bs	bos	bos
Breton	br	bre	bre
Bulgarian	bg	bul	bul
Burmese	my	mya	bur
Catalan	ca	cat	cat
Chamorro	ch	cha	cha
Chechen	ce	che	che
Chichewa	ny	nya	nya
Chuvash	cv	chv	chv
Cornish	kw	cor	cor
Corsican	co	cos	cos
Cree	cr	cre	cre
Croatian	hr	hrv	hrv
Czech	cs	ces	cze
Danish	da	dan	dan
Divehi	dv	div	div
Dutch	nl	nld	dut
Dzongkha	dz	dzo	dzo
Esperanto	eo	epo	epo
Estonian	et	est	est
Ewe	ee	ewe	ewe
Faroese	fo	fao	fao
Fijian	fj	fij	fij
Filipino	fl	fil	fil
Finnish	fi	fin	fin
Fulah	ff	ful	ful
Galician	gl	glg	glg
Georgian	ka	kat	geo
Greek	el	ell	gre
Guarani	gn	grn	grn
Gujarati	gu	guj	guj
Haitian	ht	hat	hat
Hausa	ha	hau	hau
Hebrew	he	heb	heb
Herero	hz	her	her
Hindi	hi	hin	hin
Hiri Motu	ho	hmo	hmo
Hungarian	hu	hun	hun
Interlingua	ia	ina	ina
Indonesian	id	ind	ind
Interlingue	ie	ile	ile
Irish	ga	gle	gle
Igbo	ig	ibo	ibo
Inupiaq	ik	ipk	ipk
Ido	io	ido	ido
Icelandic	is	isl	ice
Inuktitut	iu	iku	iku
Javanese	jv	jav	jav
Kalaallisut	kl	kal	kal
Kannada	kn	kan	kan
Kanuri	kr	kau	kau
Kashmiri	ks	kas	kas
Kazakh	kk	kaz	kaz
Central Khmer	km	khm	khm
Kikuyu	ki	kik	kik
Kinyarwanda	rw	kin	kin
Kirghiz	ky	kir	kir
Komi	kv	kom	kom
Kongo	kg	kon	kon
Kurdish	ku	kur	kur
Kuanyama	kj	kua	kua
Latin	la	lat	lat
Luxembourgish	lb	ltz	ltz
Ganda	lg	lug	lug
Limburgan	li	lim	lim
Lingala	ln	lin	lin
Lao	lo	lao	lao
Lithuanian	lt	lit	lit
Luba-Katanga	lu	lub	lub
Latvian	lv	lav	lav
Manx	gv	glv	glv
Macedonian	mk	mkd	mac
Malagasy	mg	mlg	mlg
Malay	ms	msa	may
Malayalam	ml	mal	mal
Maltese	mt	mlt	mlt
Maori	mi	mri	mao
Marathi	mr	mar	mar
Marshallese	mh	mah	mah
Mongolian	mn	mon	mon
Nauru	na	nau	nau
Navajo	nv	nav 	nav
North Ndebele	nd	nde	nde
Nepali	ne	nep	nep
Ndonga	ng	ndo	ndo
Norwegian Bokmal	nb	nob	nob
Norwegian Nynorsk	nn	nno	nno
Norwegian	no	nor	nor
Sichuan Yi	ii	iii	iii
South Ndebele	nr	nbl	nbl
Occitan	oc	oci	oci
Okibwa	oj	oji	oji
Church Slavic	cu	chu	chu
Oromo	om	orm	orm
Oriya	or	ori	ori
Ossetian	os	oss	oss
Panjabi	pa	pan	pan
Pali	pi	pli	pli
Persian	fa	fas	per
Polish	pl	pol	pol
Pashto	ps	pus	pus
Quechua	qu	que	que
Romansh	rm	roh	roh
Rundi	rn	run	run
Romanian	ro	ron	rum
Sanskrit	sa	san	san
Sardinian	sc	srd	srd
Sindhi	sd	snd	snd
Northern Sami	se	sme	sme
Samoan	sm	smo	smo
Sango	sg	sag 	sag
Serbian	sr	srp	srp
Gaelic	gd	gla	gla
Shona	sn	sna	sna
Sinhala	si	sin	sin
Slovak	sk	slk	slo
Slovenian	sl	slv	slv
Somali	so	som	som
Southern Sotho	st	sot	sot
Sundanese	su	sun	sun
Swahili	sw	swa	swa
Swati	ss	ssw	ssw
Swedish	sv	swe	swe
Tamil	ta	tam	tam
Telugo	te	tel	tel
Tajik	tg	tgk	tgk
Thai	th	tha	tha
Tigrinya	ti	tir	tir
Tibetian	bo	bod	tib
Turkmen	tk	tuk	tuk
Tagalog	tl	tgl	tgl
Tswana	tn	tsn	tsn
Tonga	to 	ton	ton
Turkish	tr	tur	tur
Tsonga	ts	tso	tso
Tatar	tt	tat	tat
Twi	tw	twi	twi
Tahitian	ty	tah	tah
Ulighur	ug	uig	uig
Ukrainian	uk	ukr	ukr
Urdu	ur	urd	urd
Uzbek	zu	uzb	uzb
Venda	ve	ven	ven
Vietnamese	vi	vie	vie
Volapük	vo	vol	vol
Walloon	wa	win	win
Welsh	cy	cym 	wel
Wolof	wo	wol	wol
Western Frisian	fy	fry	fry
Xhosa	xh	xho	xho
Yiddish	yi	yid	yid
Yoruba	yo	yor	yor
Zhuang	za	zha	zha
Zulu	zu	zul	zul
